lockitver|DO NOT DELETE THIS LINE! Tradução PTBR - 2018-2021 - by Evandro Neto
hint_1|Verifique as opções do PoP no menu de acampamento.
hint_2|Você pode ordenar que seus soldados se movam para um local mantendo a tecla F1 pressionada.
hint_3|Você pode esperar no mapa do mundo pressionando a barra de espaço e pode esperar/viajar de forma mais rápida pressionando simultaneamente Ctrl + barra de espaço.
hint_4|Você pode recrutar homens para o seu grupo nas tavernas.
hint_5|Você pode dar ordens a seu grupo enquanto está em uma batalha.
hint_6|Um grupo com moral alta se move mais rapidamente enquanto viaja através do mapa.
hint_7|Os membros feridos de seu grupo serão curados mais rapidamente se descansarem nas tavernas.
hint_8|Para comprar e vender objetos rapidamente na janela de seu inventário, pressione a tecla Ctrl enquanto clica com o botão esquerdo do mouse.
hint_9|Você pode pressionar a tecla Backspace durante a batalha para abrir a interface de comandos.
hint_10|Enquanto estiver em uma cidade ou castelo você pagará às suas tropas a metade de seu salário. Da mesma forma, também só pagará a metade do salário às tropas que deixou como guarnição em um castelo.
hint_11|Você pode abandonar qualquer lugar instantaneamente pressionando a tecla Tab.
hint_12|Você pode pressionar a tecla Shift para dar zoom na câmera enquanto alveja inimigos distantes.
